"talent","attractiveness","fame","is_famous"
0.661,0.547,1.386,0
-1.619,0.765,-1.877,0
-0.172,-2.102,-4.132,0
0.283,1.362,2.544,0
-1.186,0.255,0.483,0
-0.925,0.555,-1.621,0
1.301,-0.556,2.758,1
2.662,-1.577,1.707,0
0.628,-0.195,1.5,0
-1.653,0.903,-0.979,0
0.353,-0.027,0.202,0
0.011,-0.727,-1.636,0
-0.785,0.748,0.193,0
0.024,1.519,3.633,1
1.284,-0.684,0.729,0
-0.926,1.014,0.427,0
-0.194,-0.562,-1.46,0
-0.332,0.625,-0.534,0
-0.007,1.588,2.334,0
-2.694,-0.478,-6.899,0
0.587,1.642,4.506,1
0.166,-1.577,-5.102,0
-0.112,-0.617,-1.394,0
-0.214,-0.911,-2.837,0
-0.336,-0.404,-4.085,0
-0.273,1.202,2.133,0
0.922,-1.501,0.31,0
-0.567,1.396,2.761,1
-0.219,2.31,3.488,1
-0.751,-1.003,-3.374,0
-0.139,0.179,-0.238,0
-1.645,1.422,0.81,0
3,-0.068,7.045,1
-1.203,0.023,-2.393,0
0.34,-0.034,-0.174,0
1.729,-1.488,0.27,0
0.879,-1.574,-2.117,0
0.128,-1.408,-2.367,0
-0.313,-0.897,-2.26,0
-0.28,-0.205,-1.599,0
-0.334,-0.475,-1.725,0
-1.676,0.708,-2.844,0
-0.25,0.406,0.611,0
-0.83,-0.591,-1.341,0
-1.922,0.298,-4.32,0
-0.324,-0.443,-1.366,0
-0.979,-1.069,-4.388,0
-0.963,-0.858,-3.561,0
-0.396,1.906,2.592,0
-1.687,-0.463,-6.613,0
-1.269,2.458,3.658,1
-0.815,0.551,-1.242,0
-0.806,-0.086,-1.476,0
1.063,0.052,3.055,1
-1.109,0.443,-0.967,0
-0.941,0.857,-0.902,0
0.107,2.961,5.207,1
0.134,-0.272,1.089,0
1.045,1.137,4.932,1
0.008,-1.406,-1.844,0
-0.139,0.092,0.951,0
0.678,0.683,4.369,1
-0.5,-0.214,-2.128,0
1.624,-0.692,0.368,0
-0.852,0.026,0.224,0
-0.791,1.076,-0.042,0
-0.898,-1.119,-4.858,0
-0.03,1.279,2.651,1
0.643,-0.753,1.098,0
-0.04,0.345,1.007,0
-1.209,-0.131,-1.274,0
0.633,1.075,1.831,0
1.651,-0.876,2.316,0
0.537,0.435,2.332,0
-1.194,-0.621,-2.718,0
0.933,-0.489,1.418,0
-1.445,-1.829,-7.434,0
-0.022,-1.575,-2.562,0
-0.437,0.475,0.642,0
0.768,1.376,6.137,1
0.624,0.116,-1.092,0
-0.822,0.631,-0.23,0
-2.219,-0.084,-3.456,0
0.717,-0.027,1.662,0
-0.507,0.092,-0.801,0
-0.462,0.653,0.086,0
-0.446,0.861,1.033,0
1.631,1.807,8.475,1
-1.173,1.685,1.588,0
-0.832,0.119,-0.721,0
-0.479,0.07,0.038,0
-1.152,-0.505,-3.222,0
-0.067,-0.307,-0.187,0
-0.345,-1.061,-1.567,0
-0.499,1.399,0.787,0
0.423,1.653,3.564,1
0.688,-0.171,-0.567,0
-0.216,1.103,1.413,0
0.005,0.207,-2.715,0
-1.086,-0.017,-1.309,0
0.329,1.523,5.069,1
-0.244,-0.413,-1.702,0
-0.301,-1.374,-3.612,0
-0.618,0.629,0.2,0
0.275,-0.57,-0.476,0
1.073,0.481,1.761,0
0.523,-1.15,-0.973,0
-0.235,-0.725,-1.578,0
0.428,-1.344,-1.37,0
-0.315,0.492,1.451,0
0.033,0.222,-0.059,0
1.24,0.52,4.551,1
-1.954,1.924,1.217,0
0.388,0.785,0.719,0
0.354,-0.028,-0.164,0
0.406,-0.098,-0.045,0
-1.379,-0.568,-2.401,0
1.633,-0.742,2.71,1
1.911,-0.179,3.638,1
-0.713,-0.398,-2.487,0
0.058,1.901,2.776,1
-0.403,1.822,1.895,0
-0.17,-0.915,-4.16,0
-0.309,-2.582,-5.011,0
1.066,-0.737,-1.48,0
1.354,-0.551,0.809,0
-0.685,1.093,-0.89,0
1.232,-0.406,1.066,0
0.226,-0.871,0.276,0
-0.414,1.015,0.967,0
0.055,0.667,2.937,1
0.564,-0.291,-0.883,0
0.031,-0.107,1.612,0
2.568,-0.631,4.201,1
